SMILES,CP
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc1,1400.46
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,1293
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,1149.28
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],1275.64
*CC(*)O,1526.83
*CC(*)C=O,1468.55
*CC(*)OC(=O)CCCCCCCCCCC,1693.23
*CC(*)OC(=O)CCCCCCCCCCCCCCC,1715.9
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,1724.16
*CC(*)C(C)=O,1528.08
*CC(*)C(=O)C(C)C,1611.37
*CC(*)(C)C(C)=O,1585.23
*CC(*)C#N,1240.95
*CC(*)(C)C#N,1372.63
*CC(*)c1ccccn1,1199.87
*CC(*)n1c2ccccc2c2ccccc21,1179.63
*CC(*)OC,1762.63
*CC(*)OCC,1771.33
*CC(*)OCCCC,1781.42
*CC(*)OCCCCC,1784.61
*CC(*)OCCCCCC,1787.1
*CC(*)OCCCCCCCCCC,1793.26
*CC(*)OC(C)=O,1507.29
*CC(*)OC(=O)CC,1549.33
*CC(*)OC(=O)c1ccccc1,1256.94
*CC(*)OCC(C)C,1784.82
*CC(*)CCCCCCCCCO,1734.79
*CC(*)CCN(C(C)C)C(C)C,1814.87
*CC(*)CCCN(C(C)C)C(C)C,1814.25
*CC(*)CCCN(CC(C)C)CC(C)C,1813.27
*CC(*)O[N+](=O)[O-],1525.93
*/C=C/C(C)C(*)C(=O)OC,1671.42
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,1138.82
*CC(*)OC=O,1503.01
*CC(*)OCc1ccccc1,1372.74
*CC(*)OC(C)(C)C,1793.7
*C(C)C(*)OCC(C)C,1790.56
*CC(*)OC(C)C,1781.14
*CC(*)(C)OC,1783.67
*CC(*)OCC(C)(C)C,1795.38
*CC(*)OC(C)CC,1784.82
*CC(*)OC(=O)C(F)(F)F,1419.71
*/C=C/C(C*)OC,1875.67
*/C=C/CC(C)(CC*)C(=O)OC,1699.72
*CC(*)CCc1ccccc1C,1450.47
*CC(*)CCc1ccc(C)cc1,1450.47
*CC(*)OCCCCCCCCCCCC,1795.13
*C(C)C(*)OCCCC,1787.58
*C(C)C(*)OC(C)(C)C,1798.36
*C(C)C(*)OCC,1781.14
*C(C)C(*)OC(C)C,1788.21
*C(C)C(*)OC,1776.05
*C(C)C(*)OCCC,1784.82
*C1CC(*)(C#N)C1,1231.35
*CC(*)Cc1cc(C)ccc1C,1485.96
*CC(*)Cc1ccc(C)c(C)c1,1485.96
*CC(*)Cc1cc(C)cc(C)c1,1485.96
*CC(*)Cc1cccc(C)c1,1412.6
*CC(*)Cc1ccccc1C,1412.6
*CC(*)Cc1ccc(C)cc1,1412.6
*C(C)C(*)O,1600.43
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,1429.76
*CC(*)C(=O)C(C)(C)C,1643.81
*CC(*)C(=O)C1CCCCC1,1547.08
*CC(*)OC(=O)CCCCCCCCCCCCC,1705.82
*CC(*)C(=O)c1ccccc1O,1235
*/C=C/C(C*)OC,1875.67
*CC/C=C(/*)c1ccccc1,1389.61
*C(*)O,1395.79
*CC(*)OCC(CC)CCCC,1792.91
*CC(*)SCCCC,1518.08
*CC(*)OC1CCCCC1,1656.84
*CC(*)SCC,1426.04
