SMILES,ALPHA
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)C(C)C)cc1)C2=O,62.996
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCCC(*)=O)cc2)cc1,46.053
*CCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCO*)cc1,42.027
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)CCCCC(*)=O)c(C)c2)cc1C,45.6
*Oc1ccc(C2(c3ccc(OC(=O)CCCCCCCC(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,60.651
*c1cc(CCCCCCCCCCCCCCCCCCC)c(*)s1,42.987
*CCCCCCCCCCCCCCCCCCCCc1nnc(*)o1,41.473
*CCCCCCCCCCNC(=O)c1ccc(Cc2ccc(C(=O)N*)cc2)cc1,48.082
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(CCCCC)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,66.709
*CCCCCCCCCCCCNC(=O)NCCCCCCNC(=O)N*,41.5
*CC(*)(C)C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,35.553
*CC(*)c1ccc(-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2ccccc2-3)cc1,59.4
*Oc1ccc(C2(c3ccc(OC(=O)c4cccc(C(*)=O)c4)cc3)c3ccccc3C(=O)c3ccccc32)cc1,60.53
*CCCCCCCCCCCCCCCCCCCCOC(=O)C(=O)O*,41.15
*c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C3(*)OC(=O)c4ccccc43)cc2)cc1,52.916
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(CCCCCC)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,68.578
*CCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)N*,42.26
*CCCCCCCCNC(=O)CCCCCCCCCCCCC(=O)N*,42.751
*c1cccc(-c2cc(CCCCCCCCCCCCCC)cc(*)c2O)c1O,46.653
*Cc1ccc(CNC(=O)CCCCCCCCCCCCCCC(=O)N*)cc1,45.097
*CCc1ccc(CCNC(=O)CCCCCCCCCCCCCC(=O)N*)cc1,48.115
*CCCCCCCCCCC(=O)NCc1ccc(CNC(=O)CCCCO*)cc1,46.051
*c1nc(CCCCCCCCC)c(-c2sc(*)nc2CCCCCCCCC)s1,49.524
*Oc1ccc(CNC(=O)CCCCC(=O)NCc2ccc(OC3COC4C(*)COC34)cc2)cc1,49.926
*c1sc(*)c(OCCCCCCCCCCCCCCCCCCCC)c1C,47.703
*CCN(CCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,61.732
*CCCCCCCCCCCCN1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,54.781
