SMILES,TD
*CC(*)C(=O)OCCCCCCCCCCOc1ccccc1C(=O)O,1.62
*CC(*)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1,1.64
*CC(*)C(=O)OCCCCCCSCC#N,1.48
*CC(*)C(=O)OCCCSCCC#N,1.47
*CC(*)C(=O)OCCOc1ccc(C(C)(C)c2ccc(OCCO)cc2)cc1,1.86
*CC(*)C(=O)OCCSCC#N,1.22
*CC(*)C(=O)OCc1ccc(C#N)cc1,1.39
*CC(*)C(=O)OCc1ccc(OC(=O)OC(C)(C)C)cc1,1.57
*CC(*)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.647
*CC(*)C(=O)Oc1ccc(C#N)cc1,1.43
*CC(*)C(=O)Oc1ccc(C(=O)OCCCC)cc1,1.69
*CC(*)C(=O)Oc1ccc(C(=O)OCc2ccccc2)cc1,1.66
*CC(*)C(=O)Oc1ccc(Cl)c(C)c1,1.28
*CC(*)C(=O)Oc1ccc(OC)cc1,1.54
*CC(*)C(=O)Oc1cccc(C)c1,1.58
*CC(*)C(=O)Oc1cccc2ccccc12,1.35
*CC(*)C(=O)Oc1ccccc1,1.5
*CC(*)C(=O)Oc1ccccc1-c1ccccc1,1.48
*CC(*)C(=O)Oc1ccccc1Cl,1.29
*CC(*)C(=O)c1ccc(CC)cc1,1.61
*CC(*)C(=O)c1ccc(OCC)cc1,1.54
*CC(*)C(=O)c1ccccc1O,1.2
*CC(*)C(C)=O,1.32
*CC(*)C(C)C,1.5
*CC(*)C(C)CC,1.46
*CC(*)C(C)c1ccccc1,1.29
*CC(*)C(CC)CC,1.45
*CC(*)C1CC=CCC1,1.34
*CC(*)C1CCC(C)CC1,1.53
*CC(*)C1CCC1,1.55
*CC(*)C1CCCC(C)C1,1.46
*CC(*)C1CCCC1,1.45
*CC(*)C1CCCCC1,1.48
*CC(*)C=C(C)C,1.56
*CC(*)CC,1.65
*CC(*)CC(C)(C)C,1.38
*CC(*)CC(C)(C)CC,1.4
*CC(*)CC(C)C,1.61
*CC(*)CC(C)C(F)(F)F,1.03
*CC(*)CC(C)CC,1.52
*CC(*)CC(CC)CC,1.63
*CC(*)CC1CCCC1,1.66
*CC(*)CC1CCCCC1,1.73
*CC(*)CCC,1.83
*CC(*)CCC(C)(C)C,1.51
*CC(*)CCC(C)C,1.59
*CC(*)CCC(C)CC,1.69
*CC(*)CCC1CCCCC1,1.54
*CC(*)CCCC,1.69
*CC(*)CCCC(C)(C)C,1.63
*CC(*)CCCC(C)C,1.87
*CC(*)CCCC1CCCCC1,1.7
*CC(*)CCCCC,1.86
*CC(*)CCCCCC,1.71
*CC(*)CCCCCCC,1.91
*CC(*)CCCCCCCC,2.03
*CC(*)CCCCCCCCC,2.25
*CC(*)CCCCCCCCCC,2.33
*CC(*)CCCCCCCCCCC,2.27
*CC(*)CCCCCCCCCCCC,2.37
*CC(*)CCCCCCCCCCCCC,2.36
*CC(*)CCCCCCCCCCCCCC,2.37
*CC(*)CCCCCCCCCCCCCCCC,2.6
*CC(*)CCCCCCCCCCCCCCCCCC,2.63
*CC(*)CCCN(CC(C)C)CC(C)C,1.44
*CC(*)CCc1ccc(C)cc1,1.74
*CC(*)CCc1ccccc1,1.4
*CC(*)CCc1ccccc1C,1.67
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1.29
*CC(*)Cc1cc(C)cc(C)c1,1.41
*CC(*)Cc1cc(C)ccc1C,1.51
*CC(*)Cc1ccc(C)c(C)c1,1.52
*CC(*)Cc1ccccc1,1.6
*CC(*)Cl,1.14
*CC(*)O,3.17
*CC(*)OC(=O)/C=C/c1ccccc1,1.52
*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.565
*CC(*)OC(=O)CCCCCCCCCCCCCCC,2.17
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,2.1
*CC(*)OC(=O)c1ccc(C#N)cc1,1.42
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,1.63
*CC(*)OC(=O)c1ccccc1,1.29
*CC(*)OCC(C)(C)CC(C)C,1.63
*CC(*)OCCCCCCCCCCCCCCCCCC,2.65
*CC(*)OCCOc1ccc(/C=C(\C#N)C(=O)OC)cc1,1.67
*CC(*)S(=O)c1ccc(Cl)cc1,0.986
*CC(*)S(=O)c1ccc(F)cc1,0.997
*CC(*)S(=O)c1ccc(OC)cc1,1.38
*CC(*)c1c(C)cc(C)cc1C,1.42
*CC(*)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,0.651
*CC(*)c1c(F)c(F)c(F)c(F)c1F,0.649
*CC(*)c1c([2H])c([2H])c([2H])c([2H])c1[2H],1.6
*CC(*)c1cc(C(C)(C)C)ccc1C,1.35
*CC(*)c1cc(C(C)C)ccc1C(C)C,1.44
*CC(*)c1cc(C)c(C)cc1C,1.79
*CC(*)c1cc(C)cc(C)c1,1.55
*CC(*)c1cc(C)ccc1C,1.5
*CC(*)c1cc(C)ccc1F,1.35
*CC(*)c1cc(Cl)ccc1Cl,1.62
*CC(*)c1cc(F)ccc1F,1.05
*CC(*)c1cc(OC(C)CC)ccc1OC(C)CC,1.69
*CC(*)c1cc(OC)ccc1OC,1.67
*CC(*)c1ccc(-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2ccccc2-3)cc1,1.72
*CC(*)c1ccc(-c2ccccc2)cc1,1.76
*CC(*)c1ccc(C#C)cc1,2.1
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,2.01
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,1.61
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,0.989
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,1.2
*CC(*)c1ccc(C(=O)OC)cc1,1.61
*CC(*)c1ccc(C(=O)OOC(C)(C)C)cc1,1.66
*CC(*)c1ccc(C(C)(C)C)cc1,1.6
*CC(*)c1ccc(C(C)C)cc1,1.9
*CC(*)c1ccc(C(C)C)cc1C(C)C,1.68
*CC(*)c1ccc(C(C)CC)cc1,1.91
*CC(*)c1ccc(C)c(C)c1,1.62
*CC(*)c1ccc(C)cc1,1.61
*CC(*)c1ccc(C)cc1C,1.56
*CC(*)c1ccc(C=C)cc1,2.19
*CC(*)c1ccc(C=O)cc1,1.43
*CC(*)c1ccc(CC)cc1,1.67
*CC(*)c1ccc(CCC#C)cc1,2.14
*CC(*)c1ccc(CCC)cc1,1.87
*CC(*)c1ccc(CCCC)cc1,1.66
*CC(*)c1ccc(CCCCCC)cc1,1.87
*CC(*)c1ccc(CCCCCCCC)cc1,2.03
*CC(*)c1ccc(CCCCCCCCC)cc1,2.08
*CC(*)c1ccc(CCCCCCCCCC)cc1,2.1
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,2.24
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,2.5
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,2.48
*CC(*)c1ccc(COC)cc1,1.94
*CC(*)c1ccc(COCC(CC)CCCC)cc1,1.92
*CC(*)c1ccc(COCCC)cc1,1.85
*CC(*)c1ccc(COCCCCCC)cc1,1.84
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,2.24
*CC(*)c1ccc(COCCOCCCC)cc1,1.86
*CC(*)c1ccc(COc2ccc(-c3ccc(C#N)cc3)cc2)cc1,2.14
*CC(*)c1ccc(Cl)c(C)c1,1.29
*CC(*)c1ccc(Cl)c(Cl)c1,0.97
*CC(*)c1ccc(Cl)c(F)c1,1.03
*CC(*)c1ccc(Cl)cc1C,1.1
*CC(*)c1ccc(Cl)cc1Cl,0.992
*CC(*)c1ccc(F)cc1C,1.13
*CC(*)c1ccc(N(C)C)cc1,1.86
*CC(*)c1ccc(OC(C)=O)cc1,1.53
*CC(*)c1ccc(OC)c(OC)c1,1.75
*CC(*)c1ccc(OCC)cc1,2.03
*CC(*)c1ccc(OCCC(C)C)cc1,1.93
*CC(*)c1ccc(OCCC)cc1,1.84
*CC(*)c1ccc(OCCCC)cc1,1.95
*CC(*)c1ccc(S(=O)(=O)O)cc1,1.49
*CC(*)c1cccc(-c2ccc(-c3ccccc3)cc2)c1,1.74
*CC(*)c1cccc(C)c1,1.73
*CC(*)c1cccc(CC)c1,1.57
*CC(*)c1cccc(Cl)c1,1.19
*CC(*)c1cccc(F)c1,1.32
*CC(*)c1cccc(N(c2ccc(C)cc2)c2ccc(C)cc2)c1,1.54
*CC(*)c1cccc(OC(C)=O)c1,1.48
*CC(*)c1cccc2ccccc12,1.78
*CC(*)c1ccccc1,1.76
*CC(*)c1ccccc1C,1.64
*CC(*)c1ccccc1C(=O)N(C)C,1.4
*CC(*)c1ccccc1C(=O)Nc1ccccc1,1.48
*CC(*)c1ccccc1C(=O)OCC,1.42
*CC(*)c1ccccc1C(=O)Oc1ccccc1,1.4
*CC(*)c1ccccc1CC,1.62
*CC(*)c1ccccc1COC,1.63
*CC(*)c1ccccc1COC(C)C,1.34
*CC(*)c1ccccc1COCC,1.42
*CC(*)c1ccccc1COCCC,1.69
*CC(*)c1ccccc1COCCC(C)C,1.46
*CC(*)c1ccccc1COCCCC,1.58
*CC(*)c1ccccc1COCCCCC,1.38
*CC(*)c1ccccc1COCCc1ccccc1,1.44
*CC(*)c1ccccc1COCc1ccccc1,1.49
*CC(*)c1ccccc1Cl,1.19
*CC(*)c1ccccc1F,1.42
*CC(*)c1ccccc1OC,1.57
*CC(*)n1c2ccccc2c2ccccc21,1.24
*CC(=O)C(*)c1ccc(F)cc1,1.37
*CC(=O)C(*)c1cccc(C)c1,1.72
*CC(C(=O)Oc1ccccc1)C(C(=O)O)C(*)(C)C,1.15
*CC(C)(C)C1C(=O)N(C2CCCCC2)C(=O)C1*,1.35
*CC(C)(C)COC(=O)NC1CCC(CC2CCC(NC(=O)O*)CC2)CC1,2.4
*CC(C)(C)COC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)c(C)c2)cc1C,1.77
