SMILES,MU
*c1cc(/N=N/c2ccc(OC)cc2)cc(*)c1O,2.698728241
*Nc1ccc(-c2ccc(*)cc2)c(C)c1,1.621190604
*Nc1ccc(-c2ccc(*)cc2)c(OC)c1,2.938479438
*CC(*)(C)C(=O)OCCc1ccccc1,1.546424607
*CC(*)(C)C(=O)Oc1cccc(C)c1,1.439323539
*c1cc(/C=N/c2cccc(C)c2)cc(*)c1O,0.887866463
*CC(*)(C)C(=O)OCc1cccc([N+](=O)[O-])c1,5.795276208
*c1ccc(Cc2ccc(S(*)(=O)=O)cc2)cc1,5.819840711
*CCc1c(C)c(C)c(*)c(C)c1C,0.320117334
*OC(=O)CCc1ccc(CCC(*)=O)cc1,1.161637344
*Oc1ccc(Cc2ccc(OC(*)=S)cc2)cc1,5.376034924
*CC(*)C(=O)N(C(C)C)C(C)C,3.63154755
*CC(*)c1ccccc1C(=O)OCCC,1.734985819
*c1[nH]c(*)c2c1-c1ccc(C)c3c(C)ccc-2c13,1.932221825
*CC(*)C(=O)NCCCCCC(=O)O,2.251605034
*/C=C/CCCCCCCC*,0.453748316
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,3.194660805
*Oc1ccc(/N=N/c2ccc(C(*)=O)cc2)cc1C,5.131638749
*CC(*)(C)C(=O)Oc1ccc2ccccc2c1,1.432105078
*CC(*)(C)C(=O)Oc1ccc(C)cc1,1.40805707
*c1ccc(*)c(CCCCCC)c1,0.413749963
*CC(*)(C#N)C(=O)OCCCCCC,5.815835694
*/C=C/c1cc(OCC)c(*)cc1OCC,2.292669531
*CC(*)c1ccccc1COCCC,1.446655619
*CC(*)c1ccccc1COC(C)C,1.297852602
*CCN(*)C(=O)c1ccc(OCC=C)cc1,2.936041948
*CCCCCCCCOC(=O)O*,0.965515171
*/C=C/c1cc(OC(C)C)c(*)cc1OC,2.696504899
*CCCCc1nc2cc3nc(*)[nH]c3cc2[nH]1,6.394526498
*C1C(=O)N(c2ccccc2C(=O)OC)C(=O)C1*,2.718352777
*CC(*)C(=O)Oc1cccc(N(C)C)c1,1.520125052
*CC(*)c1ccc(C(C)(O)CC)cc1,1.49304746
*c1ccc(-c2ccc(C(*)(C)C)cc2)cc1,0.401192365
