SMILES,TG
*CC(*)(Cl)C(=O)OCCCC,315.15
*CC(*)(C#N)C(=O)OC,420.65
*CC(*)C(=O)OCC(C)CC,241.15
*CC(*)C(=O)OCC(C)(C)C,295.15
*CC(*)C(=O)OCCC#N,277.15
*CC(*)C(=O)OCF,288.15
*CC(*)C(=O)OCCOCCOC(F)(F)C(F)F,233.15
*CC(*)C(=O)OCCSC,213.15
*CC(*)C(=O)OCCCSC,208.15
*CC(*)C(=O)OCCSCC,202.15
*CC(*)C(=O)OCCCCSC,203.15
*CC(*)C(=O)OCCCSCC,197.15
*CC(*)C(=O)OCCSCC#N,249.15
*CC(*)C(=O)OCCSCCC#N,223.15
*CC(*)C(=O)OCCSCCCC#N,215.15
*CC(*)C(=O)OCCCSCCC#N,215.15
*CC(*)C(=O)OCCCCCCSCC#N,214.15
*CC(*)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,377.15
*CC(*)C(=O)N1CCCCC1,381.15
*CC(*)C(=O)N1CCOCC1,423.15
*CC(*)C(=O)Oc1ccccc1,333.15
*CC(*)C(=O)Oc1ccccc1C,324.65
*CC(*)C(=O)Oc1cccc(C)c1,297.65
*CC(*)C(=O)Oc1ccc(C)cc1,315.65
*CC(*)C(=O)Oc1ccccc1C(C)(C)C,345.15
*CC(*)C(=O)Oc1ccc(C(C)(C)C)cc1,344.15
*CC(*)C(=O)Oc1ccc(OC)cc1,323.65
*CC(*)C(=O)Oc1ccccc1C(=O)OC,319.15
*CC(*)C(=O)Oc1ccccc1C(=O)OCC,303.15
*CC(*)C(=O)Oc1cccc(C(=O)OC)c1,311.15
*CC(*)C(=O)Oc1cccc(C(=O)OCC)c1,297.15
*CC(*)C(=O)Oc1ccc(C(=O)OC)cc1,340.15
*CC(*)C(=O)Oc1ccc(C(=O)OCC)cc1,310.15
*CC(*)C(=O)Oc1ccc(C(=O)OCCCC)cc1,286.15
*CC(*)C(=O)Oc1ccc(-c2ccccc2)cc1,383.15
*CC(*)C(=O)OCc1ccccc1,282.4
*CC(*)C(=O)OCCc1ccccc1,270.15
*CC(*)C(=O)Oc1cccc(N(C)C)c1,320.15
*CC(*)C(=O)Oc1ccc(C#N)cc1,365.15
*CC(*)C(=O)OCc1ccc(C#N)cc1,317.15
*CC(*)C(=O)Oc1ccccc1Cl,591.15
*CC(*)C(=O)Oc1ccc(Cl)cc1Cl,333.15
*CC(*)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,418.15
*CC(*)C(=O)Oc1cccc2ccccc12,358.15
*CC(*)C(=O)N(C)C,387.15
*CC(*)C(=O)NC(C)(C)C,408.15
*CC(*)(C)C(=O)OCCCCC,283.15
*CC(*)(C)C(=O)OCC(CC)CCCC,263.15
*CC(*)(C)C(=O)OCCC(C)(C)C,318.15
*CC(*)(C)C(=O)OC(C)C(C)(C)C,381.15
*CC(*)(C)C(=O)OCCC(C)CC(C)(C)C,274.15
*CC(*)(C)C(=O)OCCOC,297.15
*CC(*)(C)C(=O)OCCOCCO,293.15
*CC(*)(C)C(=O)OCC(C)O,349.15
*CC(*)(C)C(=O)OCC(O)CO,357.55
*CC(*)(C)C(=O)OCCNC(C)(C)C,314.15
*CC(*)(C)C(=O)OCCC#N,364.15
*CC(*)(C)C(=O)OCCO[N+](=O)[O-],328.15
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,320.15
*CC(*)(C)C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,322.15
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,258.15
*CC(*)(C)C(=O)OCCS(=O)CC,298.15
*CC(*)(C)C(=O)O[Si](C)(C)C,370.65
*CC(*)(C)C(=O)OCC1(C)COCOC1,415.15
*CC(*)(C)C(=O)OCC1(C)COC(C)(C)OC1,381.15
*CC(*)(C)C(=O)OCC(C)(C)C1OCC(C)(C)CO1,391.15
*CC(*)(C)C(=O)OC12CC3CC(CC(C3)C1)C2,456.15
*CC(*)(C)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,467.15
*CC(*)(C)C(=O)Oc1ccc(CC#N)cc1,404.15
*CC(*)(C)C(=O)Oc1ccc(C(=O)OC)cc1,382.15
*CC(*)(CC)C(=O)OCC,300.15
*CC(*)(CC(=O)OCC)C(=O)OCC,338.65
*CC(*)(CC(=O)OCCCC)C(=O)OCCCC,297.15
*CC(*)(C#N)C(=O)OCCCC,390.15
*CC(*)(F)C(=O)OC,415.15
*CC(*)(CF)C(=O)OCC,316.15
*CC(*)(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1,415.15
*CC(*)(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,356.15
*CC(*)(CC(=O)OCCC1CCCCC1)C(=O)OCCC1CCCCC1,321.15
*CC(*)(CC(=O)OCCCC1CCCCC1)C(=O)OCCCC1CCCCC1,280.15
*CC(*)(CC(=O)Oc1ccccc1)C(=O)Oc1ccccc1,405.15
*CC(*)(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,328.15
*CC(*)(CC(=O)OCCc1ccccc1)C(=O)OCCc1ccccc1,318.15
